City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Akyab,MM,77.2,few clouds,20.15,92.9,Hotel Memory
540,Isangel,VU,77.11,light intensity drizzle,-19.55,169.2667,Tanna Lodge
543,Soc Trang,VN,89.56,scattered clouds,9.6033,105.98,Phu Quy Hotel
544,Hobyo,SO,79.52,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
550,Iralaya,HN,75.56,clear sky,15.0,-83.2333,Iglesia morava renovada
554,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
557,Fare,PF,81.03,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
560,Mackay,AU,85.68,scattered clouds,-21.15,149.2,International Lodge Motel
563,Victoria Point,AU,79.45,scattered clouds,-27.5833,153.3,Bay Retreat Motel
564,Pouebo,NC,81.91,overcast clouds,-20.4,164.5667,RIVÂT LODGE
565,Maningrida,AU,84.51,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
567,Waingapu,ID,86.97,light rain,-9.6567,120.2641,Pondok Wisata Elim
579,Tema,GH,81.01,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
581,Whitianga,NZ,76.01,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
583,Soe,ID,76.59,light rain,-9.8607,124.284,Dena Hotel
584,Maumere,ID,82.53,overcast clouds,-8.6199,122.2111,Sylvia Hotel
586,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
602,Eyl,SO,82.11,clear sky,7.9803,49.8164,Amiin Hotel
612,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
614,Payo,ID,85.82,overcast clouds,-3.7508,103.6372,Mess keban agung
627,Kendari,ID,86.45,scattered clouds,-3.945,122.4989,Hotel Wixel
630,Sibolga,ID,81.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
633,Townsville,AU,86.88,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
641,Kolar,IN,85.15,overcast clouds,13.1333,78.1333,Hotel Saidham
