City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Port Alfred,ZA,2022-02-05 06:05:49,-33.5906,26.891,69.62,84,95,10.56,light rain
53,Dunedin,NZ,2022-02-05 06:06:35,-45.8742,170.5036,56.8,59,56,1.99,broken clouds
54,Thompson,CA,2022-02-05 05:59:47,55.7435,-97.8558,-25.44,75,0,2.3,clear sky
55,Rocha,UY,2022-02-05 06:08:55,-34.4833,-54.3333,65.17,97,68,3.09,broken clouds
56,Kachiry,KZ,2022-02-05 06:11:00,53.0675,76.1036,12.69,80,32,8.81,scattered clouds
57,Lubao,PH,2022-02-05 06:11:01,14.9167,120.55,85.14,48,64,19.04,broken clouds
58,Bathsheba,BB,2022-02-05 06:11:01,13.2167,-59.5167,72.21,73,20,8.05,few clouds
59,Rawson,AR,2022-02-05 06:11:02,-43.3002,-65.1023,57.51,59,72,15.37,broken clouds
60,Nanortalik,GL,2022-02-05 06:03:25,60.1432,-45.2371,12.76,61,76,39.12,broken clouds
61,Lata,PT,2022-02-05 06:11:03,40.1629,-8.3327,41.92,96,73,3.36,broken clouds
62,Channel-Port Aux Basques,CA,2022-02-05 06:05:54,47.5702,-59.1367,23.25,89,100,11.01,snow
63,Ushuaia,AR,2022-02-05 06:03:21,-54.8,-68.3,44.26,87,0,5.75,clear sky
64,Mountain Home,US,2022-02-05 06:07:17,43.133,-115.6912,27.21,81,99,7.11,overcast clouds
65,Rikitea,PF,2022-02-05 06:03:26,-23.1203,-134.9692,78.58,72,10,6.35,clear sky
66,Atbasar,KZ,2022-02-05 06:06:45,51.8,68.3333,12.16,78,100,8.63,overcast clouds
67,Nikolskoye,RU,2022-02-05 06:06:49,59.7035,30.7861,20.71,88,99,13.73,overcast clouds
68,Puerto Ayora,EC,2022-02-05 06:11:46,-0.7393,-90.3518,74.55,93,47,3.0,scattered clouds
69,Viedma,AR,2022-02-05 06:11:47,-40.8135,-62.9967,60.53,70,100,18.84,overcast clouds
70,Zyryanka,RU,2022-02-05 06:11:48,65.75,150.85,-34.96,100,97,1.3,overcast clouds
71,Bluff,NZ,2022-02-05 06:11:49,-46.6,168.3333,59.81,58,58,6.24,broken clouds
72,Fort Myers Beach,US,2022-02-05 06:11:50,26.452,-81.9481,69.03,92,20,0.0,few clouds
73,Faanui,PF,2022-02-05 06:11:50,-16.4833,-151.75,80.6,74,62,13.91,light rain
74,Grand Gaube,MU,2022-02-05 06:10:24,-20.0064,57.6608,82.38,80,97,14.0,overcast clouds
75,Chongwe,ZM,2022-02-05 06:11:51,-15.3292,28.682,64.87,97,100,2.33,overcast clouds
76,Kiama,AU,2022-02-05 06:11:52,-34.6833,150.8667,71.46,67,83,3.0,broken clouds
77,Weligama,LK,2022-02-05 06:09:17,5.9667,80.4167,85.77,58,53,4.29,broken clouds
78,Geraldton,AU,2022-02-05 06:05:56,-28.7667,114.6,108.01,10,0,14.97,clear sky
79,Nome,US,2022-02-05 06:07:40,64.5011,-165.4064,-1.89,65,0,0.0,clear sky
